//ID	Name	Region	IP #1	IP #2	IP #3	IP #4	IP #5	Description	?
1	Celestial Isle	Epic World	127.0.0.1	127.0.0.1	0	0	0		
2	Paradise Isle	Epic World	127.0.0.1	127.0.0.1	0	0	0		
3	Battlefield	Epic World	127.0.0.1	127.0.0.1	0	0	0		
5	Caribbean Sea	Mystic Ocean	127.0.0.1	127.0.0.1	0	0	0		
6	Dawn Isle	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
7	Diamond Isle	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
8	Eclipse Isle	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
9	Shadow Isle	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
10	Devil Isle(New)	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
11	Sunlight Isle	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
12	Dragon Isle	Dream Island	127.0.0.1	127.0.0.1	0	0	0		
