[08-14 01:34:24]create bugbear778  pos = 209900 275200, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear778  pos = 213700 258900, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear778  pos = 224200 262600, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear778  pos = 80700 163000, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear778  pos = 83100 144800, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear778  pos = 85900 156500, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear74  pos = 347965 72432, angle = 145, rTime = 10800
[08-14 01:34:24]create bugbear187  pos = 349760 73393, angle = 145, rTime = 5400
[08-14 01:34:24]create bugbear187  pos = 350718 72057, angle = 145, rTime = 5400
[08-14 01:34:24]create bugbear471  pos = 91765 123732, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 83360 104793, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 83818 104757, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 83018 106954, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 83471 106730, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 83291 106915, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 84512 111113, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 84660 111241, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 85207 113368, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 99853 122272, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 99647 122326, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 97398 123257, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 95755 123412, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 93903 123527, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 94150 123469, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 93525 121911, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 93228 121895, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 92264 118384, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 92224 118512, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 91090 114878, angle = 145, rTime = 60
[08-14 01:34:24]create bugbear471  pos = 91278 114986, angle = 145, rTime = 60
