[08-14 02:04:57]create bugbear939  pos = 214830 277730, angle = 145, rTime = 1900000
[08-14 02:05:00]create bugbear939  pos = 214830 277730, angle = 145, rTime = 1900000
[08-14 02:05:01]create bugbear939  pos = 214830 277730, angle = 145, rTime = 1900000
[08-14 02:05:02]create bugbear939  pos = 214830 277730, angle = 145, rTime = 1900000
[08-14 02:05:04]create bugbear939  pos = 214830 277730, angle = 145, rTime = 1900000
[08-14 02:05:05]create bugbear939  pos = 214830 277730, angle = 145, rTime = 1900000
[08-14 02:05:12]create bugbear939  pos = 215330 277630, angle = 145, rTime = 1900000
[08-14 02:05:13]create bugbear939  pos = 215330 277630, angle = 145, rTime = 1900000
[08-14 02:05:14]create bugbear939  pos = 215130 277730, angle = 145, rTime = 1900000
[08-14 02:05:15]create bugbear939  pos = 215130 277730, angle = 145, rTime = 1900000
[08-14 02:05:16]create bugbear939  pos = 215130 277730, angle = 145, rTime = 1900000
[08-14 02:05:17]create bugbear939  pos = 215130 277730, angle = 145, rTime = 1900000
[08-14 02:05:18]create bugbear939  pos = 215130 277730, angle = 145, rTime = 1900000
[08-14 02:05:34]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:35]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:36]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:37]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:38]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:39]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:40]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:42]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:43]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:44]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:45]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:46]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:53]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:54]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:05:55]create bugbear939  pos = 214980 277980, angle = 145, rTime = 1900000
[08-14 02:07:02]create bugbear939  pos = 215080 277730, angle = 145, rTime = 1900000
[08-14 02:07:04]create bugbear939  pos = 215080 277730, angle = 145, rTime = 1900000
[08-14 02:07:05]create bugbear939  pos = 215080 277730, angle = 145, rTime = 1900000
[08-14 02:07:06]create bugbear939  pos = 215080 277730, angle = 145, rTime = 1900000
[08-14 02:07:17]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:19]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:21]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:22]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:23]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:24]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:25]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:26]create bugbear940  pos = 215430 277730, angle = 145, rTime = 1900000
[08-14 02:07:27]create bugbear940  pos = 215774 276789, angle = 145, rTime = 1900000
[08-14 02:07:29]create bugbear940  pos = 215439 277693, angle = 145, rTime = 1900000
[08-14 02:07:32]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:33]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:35]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:36]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:38]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:39]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:40]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
[08-14 02:07:41]create bugbear940  pos = 215523 277797, angle = 145, rTime = 1900000
