[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4552  64  500  1000  501  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4553  64  500  1000  616  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 3  1  4554  64  500  1000  1301  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 4  2  4555  32  700  1200  763  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 5  3  4556  32  900  1400  1764  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4557  -1  1000  1200  1740  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4561  -1  1300  1600  1380  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4572  -1  1000  1200  2134  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4574  -1  1000  1200  1864  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4586  -1  1600  2000  1876  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4557  64  500  1000  1304  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4558  32  700  1200  1227  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4553  -1  1000  1200  2032  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4568  -1  1300  1600  2761  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4571  -1  900  1000  1854  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4575  -1  1300  1600  2717  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4567  64  500  1000  1285  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4568  32  700  1200  1161  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4569  32  700  1200  1266  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4570  32  900  1400  1160  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4552  -1  900  1000  1831  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4558  -1  1300  1600  2636  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4560  -1  1000  1200  2011  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4573  -1  1300  1600  1793  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4575  -1  1300  1600  1585  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4582  -1  1300  1600  1966  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4587  -1  1600  2000  3099  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4571  64  500  1000  1066  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4572  64  500  1000  866  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4573  32  700  1200  1604  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4553  -1  1000  1200  1192  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4568  -1  1300  1600  2197  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4574  64  500  1000  1205  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4575  64  700  1200  787  
[08-14 01:34:23]SaleGoodsData, count, level, id, num, price, range, curprice 3  3  4576  32  900  1400  1725  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4554  -1  1000  1200  1862  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4558  -1  1300  1600  2429  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4569  -1  1300  1600  1593  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4578  -1  1300  1600  2317  
[08-14 01:34:23]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4587  -1  1600  2000  1811  
