[08-14 01:34:17]SetRandPrizeItem:misid, level 100  10  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  290  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  466  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  642  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  10  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  296  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  472  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  648  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1370  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  13  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1395  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1379  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1388  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  121  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  3885  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  3886  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  1851  270  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  10  2590  8000  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]SetRandPrizeItem:misid, level 100  11  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  11  290  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  11  466  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  11  642  810  nil  nil  nil  nil  nil  nil  
[08-14 01:34:17]AddRandPrizeItem:misid, level, item1, itemdata1, item2, itemdata2, item3, itemdata3, item4, itemdata4 100  11  10  270  nil  nil  nil  nil  nil  nil  
