[08-14 01:34:15]AddBoatLevel: count, level, money, exp 1  2  2  4  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 2  3  5  9  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 3  4  8  16  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 4  5  13  25  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 5  6  18  36  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 6  7  24  49  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 7  8  31  64  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 8  9  40  81  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 9  10  50  100  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 10  11  61  121  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 11  12  75  144  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 12  13  91  169  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 13  14  109  196  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 14  15  130  225  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 15  16  155  256  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 16  17  183  289  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 17  18  216  324  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 18  19  253  361  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 19  20  296  400  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 20  21  345  441  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 21  22  402  484  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 22  23  466  529  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 23  24  540  576  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 24  25  625  625  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 25  26  721  676  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 26  27  831  729  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 27  28  957  784  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
