[08-14 01:34:21]create bugbear778  pos = 120900 50000, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear778  pos = 131400 70200, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear778  pos = 146900 53100, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 83974 71277, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 84061 71320, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 84097 71179, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 85203 72741, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 84983 72804, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 88283 74318, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89205 74068, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89332 75759, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89031 75624, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89999 77132, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89966 77311, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 87309 76322, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 87097 76315, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 85562 77941, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 85336 77952, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 85441 77900, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 85343 80685, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 85443 80779, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 87450 81818, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 87529 81961, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 87311 81883, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89277 83317, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 89356 83433, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 90487 85555, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 90611 85483, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 92391 88688, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 92259 88695, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 92041 88527, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 97093 92223, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 96961 92432, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 96704 92230, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 99095 94105, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 99186 93899, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 104216 91864, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 103771 90431, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 102468 86920, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 102283 86539, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 104358 80959, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear464  pos = 104317 81158, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 37177 336190, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 51927 338277, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 52407 350659, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 257698 286702, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 196726 283075, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 211558 265804, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 225534 273936, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 231600 278749, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 237999 288016, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 247474 269164, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 255755 274484, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 257692 286773, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear569  pos = 152470 188188, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 154183 178520, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 154825 179233, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 155347 179906, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 154131 180098, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 154820 180772, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 154799 181401, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 155491 182300, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 155205 182983, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 156302 183905, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 156202 182772, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 155686 180998, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 156345 180492, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 157300 179802, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 158014 179043, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 158251 178010, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 158402 176539, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 158239 175142, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 157871 174577, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 157568 173737, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 157608 172529, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 158148 171800, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 158827 170886, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 159716 170703, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear569  pos = 160859 170817, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear570  pos = 162018 171031, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear571  pos = 163182 171991, angle = 145, rTime = 30
