[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4588  64  500  1000  1466  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4589  64  500  1000  714  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4590  32  700  1200  1867  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4591  32  900  1400  2167  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4563  -1  900  1000  1484  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4580  -1  1600  2000  3558  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4585  -1  1300  1600  1434  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4592  -1  1000  1200  1355  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4563  64  500  1000  959  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4564  64  500  1000  720  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4565  32  700  1200  1202  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4566  32  900  1400  1202  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4577  -1  1000  1200  1297  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4586  -1  1600  2000  2794  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4588  -1  900  1000  1375  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4593  -1  1300  1600  2457  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4573  900  279  62  285  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  0  4574  800  342  76  410  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  1  4575  700  391  87  421  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 4  1  4576  480  432  96  438  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 5  2  4577  300  495  110  562  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 6  2  4578  240  522  116  539  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 7  3  4579  60  589  131  600  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 8  3  4580  40  648  144  676  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4581  -1  542  121  630  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4583  -1  724  161  857  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4585  -1  846  188  863  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4587  -1  846  564  1206  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4593  -1  1000  223  1034  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4595  -1  938  625  1111  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4597  -1  881  195  1057  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4598  -1  878  195  978  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 9  0  4600  -1  866  577  979  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 10  0  4552  -1  642  143  703  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 11  0  4553  -1  789  175  962  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 12  0  4554  -1  934  207  935  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 13  0  4556  -1  870  193  1041  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 14  0  4557  -1  970  215  1010  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 15  0  4560  -1  1056  235  1123  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 16  0  4563  -1  909  202  1017  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 17  0  4566  -1  785  175  897  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 18  0  4569  -1  1014  225  1031  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 19  0  4572  -1  924  205  963  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 20  0  4547  -1  100  0  100  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 21  0  4549  -1  500  0  500  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 22  0  4548  -1  300  0  300  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 23  0  4551  -1  20  0  20  
