[08-14 01:34:17]create bugbear686  pos = 28192 29486, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 28703 28992, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 27029 27779, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 26751 27780, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 25958 26820, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 26060 26581, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 24643 27960, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 24729 28217, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 23704 27738, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 23673 27389, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 23502 29031, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 23411 29352, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 22404 28349, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 22585 27647, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 22393 30409, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 20916 29324, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 21138 29079, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 19668 28197, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 19256 27978, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 19753 27502, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 20298 26282, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 19959 26303, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 19101 25116, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 18400 24448, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 18236 24731, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 16841 25768, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 16850 26160, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 15872 25022, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 26975 27545, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 14744 23897, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 14493 23984, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 25629 26852, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 24489 28459, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 23367 27457, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 23140 29076, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 22177 30141, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 22156 30583, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 21252 29378, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 15174 29584, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 8107 25773, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear687  pos = 11721 19645, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 12116 22933, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 12701 22196, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 19987 27919, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 19983 28225, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 17145 26001, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 13821 23020, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 13543 23039, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 21140 24881, angle = 40, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 14017 22159, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear687  pos = 14260 21603, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear686  pos = 25523 24572, angle = 145, rTime = 3600
[08-14 01:34:17]create bugbear689  pos = 12515 23000, angle = 145, rTime = 3600
