[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4577  64  500  1000  517  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4578  32  700  1200  1458  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  3  4579  32  900  1400  1329  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4580  32  900  1400  1092  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4562  -1  1600  2000  3471  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4564  -1  1000  1200  1778  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4575  -1  1300  1600  1300  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4583  -1  1600  2000  1756  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4584  -1  1000  1200  2076  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4591  -1  1600  2000  2580  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4581  64  500  1000  1298  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4582  32  700  1200  1336  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  3  4583  32  900  1400  1412  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4559  -1  900  1000  1737  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4569  -1  1300  1600  2698  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4579  -1  1600  2000  2017  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  1  4584  64  500  1000  749  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  2  4585  32  700  1200  1136  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  3  4586  32  900  1400  2251  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4587  32  900  1400  1233  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4556  -1  1600  2000  2293  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4560  -1  1000  1200  1197  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4566  -1  1600  2000  2014  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4570  -1  1600  2000  1637  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 5  0  4576  -1  1600  2000  2151  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 6  0  4577  -1  1000  1200  1267  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 7  0  4581  -1  900  1000  1632  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 8  0  4590  -1  1300  1600  1406  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  4559  64  500  1000  1309  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 2  1  4560  64  500  1000  1271  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 3  2  4561  32  700  1200  1796  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 4  3  4562  32  900  1400  1013  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 1  0  4555  -1  1300  1600  2416  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 2  0  4567  -1  1300  1600  2008  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 3  0  4579  -1  1600  2000  2905  
[08-14 01:34:20]BuyGoodsData, count, level, id, num, price, range, curprice 4  0  4584  -1  1000  1200  1367  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  3914  150  990  220  993  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  3912  200  855  190  889  
[08-14 01:34:20]SaleGoodsData, count, level, id, num, price, range, curprice 1  0  3913  250  765  170  838  
