//ID	Item Name	Description	Price	Hot	Items	Quantity	Duration	Stock
1	Fairy Ration	Recovers the stamina of a Pet	20	-1	227	99	1682401669	0
2	Iron Man	Lance Apparel	50	-1	8831,8832,8833,8834	1,1,1,1	-1	-1
3	No Exp Stone	Exp Carrion	10	-1	9386	1	-1	-1
//Pet
4	Fairy Rations	Fairy Ration	199	-1	227,2312	99,49	-1	-1
5	Demonic Fruit of Acidity	Marriage	249	-1	3918	1	-1	-1
6	Demonic Fruit of Courage	Marriage	249	-1	3919	1	-1	-1
7	Demonic Fruit of Strength	Marriage	249	-1	3920	1	-1	-1
8	Demonic Fruit of Intellect	Marriage	249	-1	3921	1	-1	-1
9	Demonic Fruit of Energy	Marriage	249	-1	3922	1	-1	-1
10	Demonic Fruit of Aberrant	Marriage	249	-1	3924	1	-1	-1
11	Demonic Fruit of Mystery	Marriage	249	-1	3925	1	-1	-1
12	Standard Meditation	Pet Skill	49	-1	260	1	-1	-1
13	Standard Recover	Pet Skill	49	-1	253	1	-1	-1
14	Standard Magic	Pet Skill	49	-1	250	1	-1	-1
15	Standard Berserk	Pet Skill	49	-1	247	1	-1	-1
16	Standard Protection	Pet Skill	49	-1	244	1	-1	-1
17	Great Snow Dragon Fruit	Pet Food	49	-1	276	1	-1	-1
18	Great Icespire Plum	Pet Food	49	-1	277	1	-1	-1
19	Great Zephyr Fish Floss	Pet Food	49	-1	278	1	-1	-1
20	Great Argent Mango	Pet Food	49	-1	279	1	-1	-1
21	Great Shaitan Biscuit	Pet Food	49	-1	280	1	-1	-1
22	Fruit of Growth	Pet Food	13	-1	578	1	-1	-1
//Level
23	Heaven's Berry & Nana	EXP	199	-1	3844,849	9,3	-1	-1
24	Hi-Amplifier of Strive	EXP	99	-1	3095	1	-1	-1
25	Hi-Amplifier of Luck	Drop	99	-1	3097	1	-1	-1
26	Heaven's Berry	EXP	17	-1	3844	1	-1	-1
27	Charmed Berry	Drop	17	-1	3845	1	-1	-1
28	Party EXP Fruit	EXP	17	-1	849	1	-1	-1
29	Vial of Strength Reset	Reset	9	-1	3109	9	-1	-1
30	Vial of Consitution Reset	Reset	9	-1	3110	9	-1	-1
31	Vial of Agility Reset	Reset	9	-1	3111	9	-1	-1
32	Vial of Accuracy Reset	Reset	9	-1	3112	9	-1	-1
33	Vial of Spirit Reset	Reset	9	-1	3113	9	-1	-1
34	Voodoo Puppet	Voodoo	4	-1	3047	9	-1	-1
35	Super Candy Stick	Candy	4	-1	3910	9	-1	-1
36	Magical Clover	Clover	2	-1	3462	1	-1	-1
37	Intense Magic	Skill Book	79	-1	3300	1	-1	-1
38	Crystalline Blessing	Skill Book	79	-1	3301	1	-1	-1
39	Icy Crystal	Crystal	2	-1	3463	1	-1	-1
40	Constitution Recovery Flask	A potion	99	-1	3098	1	-1	-1
41	SP Holy Water	A potion	9	-1	3099	1	-1	-1
42	Power Sail	A potion	11	-1	3046	1	-1	-1
43	lantern festival	A potion	12	-1	3107	1	-1	-1
//Teleportation
44	Pass to Lone Tower	Ticket	1	-1	3054	1	-1	-1
45	Pass to Summer	Ticket	1	-1	563	1	-1	-1
46	Pass to Autum	Ticket	1	-1	563	1	-1	-1
47	Pass to Silver Mine 3	Ticket	1	-1	3058	1	-1	-1
