//ID	Name	Model	Propeller 1	Propeller 2	Propeller 3	Propeller 4	Price	Durability	Durability Recovery	Defense	Physical Resist	Min Attack	Max Attack	Attack Range	Reloading Time	Cannon Area of Effect	Cargo Capacity	Fuel	Fuel Consumption	Attack Speed	Movement Speed	Description	Remark
1	#T_SHIPITEMINFO_TXT_1#	2000000000	0	0	0	0	31237	4286	0	78	20	0	0	0	0	0	0	200	2	0	0	0	0
2	#T_SHIPITEMINFO_TXT_2#	2000010000	0	0	0	0	46200	5000	0	89	20	0	0	0	0	0	0	200	3	0	0	0	0
3	#T_SHIPITEMINFO_TXT_3#	2000020000	0	0	0	0	65362	5731	0	100	20	0	0	0	0	0	0	200	3	0	0	0	0
4	#T_SHIPITEMINFO_TXT_4#	2001000000	0	0	0	0	31237	6082	0	127	25	0	0	0	0	0	0	200	2	0	0	0	0
5	#T_SHIPITEMINFO_TXT_5#	2001010000	0	0	0	0	46200	7441	0	155	25	0	0	0	0	0	0	200	3	0	0	0	0
6	#T_SHIPITEMINFO_TXT_6#	2002000000	0	0	0	0	65362	8945	0	183	25	0	0	0	0	0	0	200	3	0	0	0	0
7	#T_SHIPITEMINFO_TXT_7#	2003000000	0	0	0	0	0	1000	0	20	20	0	0	0	0	0	0	200	2	0	0	0	0
8	#T_SHIPITEMINFO_TXT_8#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
9	#T_SHIPITEMINFO_TXT_9#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
10	#T_SHIPITEMINFO_TXT_10#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
11	#T_SHIPITEMINFO_TXT_11#	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
12	#T_SHIPITEMINFO_TXT_12#	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
13	#T_SHIPITEMINFO_TXT_13#	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
14	#T_SHIPITEMINFO_TXT_14#	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
15	#T_SHIPITEMINFO_TXT_15#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
16	#T_SHIPITEMINFO_TXT_16#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
17	#T_SHIPITEMINFO_TXT_17#	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0
