//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
0	Blacksmith - Bash	1	436	1	134423,52988	134423,52988	174	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk73	0
1	Grocer - Palpin	1	19	12	135671,48320	135671,48320	174	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk74	0
2	Physican - Daisha	1	19	11	135298,49926	135298,49926	279	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk75	0
3	Nurse - Anne	1	419	3	131811,50056	131811,50056	-289	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk76	0
4	Newbie Guide - Angela	1	11	15	131577,50700	131577,50700	144	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk77	0
5	Icicle Swordsman - Ray	1	5	0	136573,57078	136573,57078	219	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk78	0
6	Icicle Chairman - Reyno	1	415	0	129486,49842	129486,49842	189	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk79	0
7	Icicle Royal - Mas	1	421	0	134652,45141	134652,45141	189	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk80	0
8	Banker - Belinda	1	27	0	136058,51931	136058,51931	264	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk81	0
9	Waitress - Babara	1	400	0	131083,53031	131083,53031	204	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk82	0
10	Tailor - Hannah	1	401	2	134926,53992	134926,53992	279	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk83	0
11	Innkeeper - Yaskey	1	17	0	129074,54098	129074,54098	99	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk84	0
12	Icicle Teleporter - Helen	1	400	7	132304,54403	132304,54403	324	#RESOURCE_AREASET_TXT_000016#	20	0	GoToWhere	0
13	Tourist - Tink	1	425	0	133550,46900	133550,46900	189	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk85	0
//14
//15
16	Patrol - Little Mo	1	12	0	123788,61340	123788,61340	159	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk90	0
17	Wynne	1	444	0	138002,52336	138002,52336	24	#RESOURCE_AREASET_TXT_000015#	19	0	r_talk130	0
18	Lessie	1	402	0	137986,61256	137986,61256	174	#RESOURCE_AREASET_TXT_000015#	19	0	r_talk131	0
19	Dodo	1	421	0	159085,53164	159085,53164	219	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk132	0
20	Lamut	1	429	0	153655,70473	153655,70473	309	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk134	0
21	Irisis	1	441	0	127507,67204	127507,67204	219	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk135	0
22	Eluna	1	442	0	114118,57546	114118,57546	114	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk136	0
23	Shereda	1	415	0	106780,45276	106780,45276	84	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk137	0
24	Ciao	1	420	0	96497,42207	96497,42207	144	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk138	0
25	Strawberry	1	423	0	101059,35051	101059,35051	144	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk139	0
26	Eve	1	424	0	142607,28569	142607,28569	129	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk140	0
27	Susana	1	437	0	116325,43576	116325,43576	174	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk141	0
28	Caroline	1	443	0	116056,69273	116056,69273	219	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk142	0
29	Jameson	1	19	0	104332,78068	104332,78068	189	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk143	0
30	Lucy	1	16	0	93685,81858	93685,81858	9	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk144	0
31	Yulandor	1	19	0	78915,79584	78915,79584	54	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk145	0
32	Ketan	1	404	0	99778,45483	99778,45483	144	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk148	0
33	Missy Elene	1	443	0	128093,47812	128093,47812	294	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk149	0
34	Harbor Operator - Silion	1	442	9	121425,68118	121425,68118	159	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk154	0
35	Builder - George	1	405	0	122154,62890	122154,62890	129	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk155	0
36	Sailor - Ajax	1	445	0	122113,61745	122113,61745	99	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk156	0
37	Willi	1	16	0	102816,66840	102816,66840	99	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	r_talk126	0
38	Zurbi	1	445	0	103790,67165	103790,67165	9	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	r_talk170	0
39	Gasardis	1	431	0	102832,64970	102832,64970	174	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	r_talk118	0
40	Julie Burn	1	30	0	104946,67361	104946,67361	324	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	r_talk106	0
41	Ulkar	1	420	11	105963,66117	105963,66117	303	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	r_talk171	0
42	Teleporter - Sofia	1	400	7	104687,63961	104687,63961	84	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	transmittal	0
43	Oracle - Moonlight	1	442	0	213412,55559	213412,55559	129	#BIRTH_BIRTH_CONF_LUA_000016#	60	0	r_talk119	0
