//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	Region ID
1	47500,20000	53300,43400	-1	907,906	2,2	100,100	3600,3600	0	0	高级石材
2	8800,19800	14200,42000	-1	1002	20	100	180	0	0	圣战小树
3	8900,19700	14200,42000	-1	933	1	100	10800	0	0	圣战BOSS
4	25600,17900	27400,27000	-1	911	3	100	1200	0	0	龟甲骨船
5	34100,18000	36100,27200	-1	922	2	100	1200	0	0	海滩潜水贝
6	25300,33400	27300,44700	-1	921	3	100	1200	0	0	月尾绮鳝
7	34200,33300	36000,44300	-1	912	2	100	1200	0	0	坚硬龟甲骨船
8	19400,8600	42400,14900	-1	220	2	100	900	0	0	紫色精灵草
9	19400,8600	42400,14900	-1	219	2	100	900	0	0	蓝色精灵草
10	19400,8600	42400,14900	-1	217	2	100	900	0	0	红色精灵草
11	19400,8600	42400,14900	-1	218	2	100	900	0	0	黄色精灵草
12	19600,46900	14300,53900	-1	220	2	100	900	0	0	紫色精灵草
13	19600,46900	14300,53900	-1	219	2	100	900	0	0	蓝色精灵草
14	19600,46900	14300,53900	-1	217	2	100	900	0	0	红色精灵草
15	19600,46900	14300,53900	-1	218	2	100	900	0	0	黄色精灵草
16	46700,18700	53600,44500	-1	220	2	100	900	0	0	紫色精灵草
17	46700,18700	53600,44500	-1	219	2	100	900	0	0	蓝色精灵草
18	46700,18700	53600,44500	-1	217	2	100	900	0	0	红色精灵草
19	46700,18700	53600,44500	-1	218	2	100	900	0	0	黄色精灵草
20	7300,17400	14400,43500	-1	220	2	100	900	0	0	紫色精灵草
21	7300,17400	14400,43500	-1	219	2	100	900	0	0	蓝色精灵草
22	7300,17400	14400,43500	-1	217	2	100	900	0	0	红色精灵草
23	7300,17400	14400,43500	-1	218	2	100	900	0	0	黄色精灵草
24	7600,8300	14600,14700	-1	220	1	100	900	0	0	紫色精灵草
25	7600,8300	14600,14700	-1	219	1	100	900	0	0	蓝色精灵草
26	7600,8300	14600,14700	-1	217	1	100	900	0	0	红色精灵草
27	7600,8300	14600,14700	-1	218	1	100	900	0	0	黄色精灵草
28	47700,8300	53600,14500	-1	220	1	100	900	0	0	紫色精灵草
29	47700,8300	53600,14500	-1	219	1	100	900	0	0	蓝色精灵草
30	47700,8300	53600,14500	-1	217	1	100	900	0	0	红色精灵草
31	47700,8300	53600,14500	-1	218	1	100	900	0	0	黄色精灵草
32	47500,47500	53600,53900	-1	220	1	100	900	0	0	紫色精灵草
33	47500,47500	53600,53900	-1	219	1	100	900	0	0	蓝色精灵草
34	47500,47500	53600,53900	-1	217	1	100	900	0	0	红色精灵草
35	47500,47500	53600,53900	-1	218	1	100	900	0	0	黄色精灵草
36	7300,47000	14600,53900	-1	220	1	100	900	0	0	紫色精灵草
37	7300,47000	14600,53900	-1	219	1	100	900	0	0	蓝色精灵草
38	7300,47000	14600,53900	-1	217	1	100	900	0	0	红色精灵草
39	7300,47000	14600,53900	-1	218	1	100	900	0	0	黄色精灵草
40	20800,17100	23800,44500	-1	220	1	100	900	0	0	紫色精灵草
41	20800,17100	23800,44500	-1	219	1	100	900	0	0	蓝色精灵草
42	20800,17100	23800,44500	-1	217	1	100	900	0	0	红色精灵草
43	20800,17100	23800,44500	-1	218	1	100	900	0	0	黄色精灵草
44	28600,17400	32700,44600	-1	220	1	100	900	0	0	紫色精灵草
45	28600,17400	32700,44600	-1	219	1	100	900	0	0	蓝色精灵草
46	28600,17400	32700,44600	-1	217	1	100	900	0	0	红色精灵草
47	28600,17400	32700,44600	-1	218	1	100	900	0	0	黄色精灵草
48	37600,17100	40600,44500	-1	220	1	100	900	0	0	紫色精灵草
49	37600,17100	40600,44500	-1	219	1	100	900	0	0	蓝色精灵草
50	37600,17100	40600,44500	-1	217	1	100	900	0	0	红色精灵草
51	37600,17100	40600,44500	-1	218	1	100	900	0	0	黄色精灵草
