//Jump-point list of small garden								
//Number	Bound entityID	Event Type	Physical placement	Placed in the direction of the entity	Target map name	Target map	Trigger to determine the conditions	Name
1	193	1	15100,18300	-1	hell3	10500,18300	1	Left
2	193	1	15400,15000	-1	hell3	10200,10000	1	Left
3	193	1	18900,14900	-1	hell3	19000,10000	1	On
4	193	1	22300,15200	-1	hell3	27500,10000	1	Upper right
5	193	1	22300,18300	-1	hell3	27100,18300	1	Right
6	193	1	22300,21900	-1	hell3	27500,26900	1	Lower right
7	193	1	18700,22200	-1	hell3	18800,26900	1	Next
8	193	1	15400,22000	-1	hell3	10300,27100	1	Left
9	193	1	10500,18100	-1	hell3	15100,18300	1	Back to the left
10	193	1	10200,10000	-1	hell3	15400,15000	1	Back to the left
11	193	1	19000,10000	-1	hell3	18900,14900	1	Back
12	193	1	27500,10000	-1	hell3	22300,15200	1	Back to the top right
13	193	1	27100,18300	-1	hell3	22300,18300	1	Right back
14	193	1	27500,26900	-1	hell3	22300,21900	1	Back to the lower right
15	193	1	18800,26900	-1	hell3	18700,22200	1	Back next
16	193	1	10300,27100	-1	hell3	15400,22000	1	Back to the left
